time,value
2025-02-27T08:13:00.186351915Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:01.399309196Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:02.372536436Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:03.380994673Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:04.373075163Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:05.39655942Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:06.390530972Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:07.378382639Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:08.385116308Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:09.377553083Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:10.390903335Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:11.389343247Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:12.388762246Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:13.401969584Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:14.389645949Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:15.466248699Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:16.397689453Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:17.462670712Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:18.400765885Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:19.394261706Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:20.407565638Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:21.399709394Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:22.405110421Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:23.402817355Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:24.404490606Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:25.416177807Z,"{""lat"":11.1069203,""lon"":106.6148418}"
2025-02-27T08:13:26.395594634Z,"{""lat"":11.1069203,""lon"":106.6148418}"
