time,value
2025-03-09T02:27:42.488543632Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:44.401119272Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:45.483355252Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:46.483203575Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:47.43312432Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:48.433910543Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:49.409254098Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:50.513312869Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:51.476164895Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:52.431365337Z,"{""lat"":10.7981007,""lon"":106.6698631}"
2025-03-09T02:27:53.416478627Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:27:54.633101564Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:27:55.566096749Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:27:56.476165962Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:27:57.53202206Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:27:58.473145824Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:27:59.473456474Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:28:00.483101664Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:28:01.484033319Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:28:02.493208242Z,"{""lat"":10.7980989,""lon"":106.6698829}"
2025-03-09T02:28:03.463137624Z,"{""lat"":10.7981107,""lon"":106.6698662}"
2025-03-09T02:28:04.483326041Z,"{""lat"":10.7981107,""lon"":106.6698662}"
